Descrição
4 Ferramentas de testes de acessibilidade para UX/UI designers. 4ED (2020). Disponível em: <https://4ed.cc/ferramentas-de-testes--de-acessibilidade-para-ux-ui-designers/>. Acesso em: 18 set. 2023
"Afonso, Ana Paula Preto Mendes (2023). A avaliação da usabilidade de interfaces web: o teste de usabilidade. http://hdl.handle.net/10284/12054"
"ALBANO, Wladimyr Mattos; DELOU, Cristina Maria Carvalho (2023). Metodologia DSR na elaboração de artefatos simuladores. In: CONGRESSO NACIONAL DE EDUCAÇÃO, 9., João Pessoa. Anais... João Pessoa: CONEDU, 2023. 6 p"
"Alec Sonsteby & Jennifer DeJonghe (2013) Usability Testing, User-Centered Design, and LibGuides Subject Guides: A Case Study, Journal of Web Librarianship, 7:1, 83-94, DOI: 10.1080/19322909.2013.747366"
"Ali, H. & Mehmood, Nadeem & Z. Mahfooz, Syed & Ali, Iftikhar. (2023). Usability evaluation of online digital libraries of educational institutions. World Journal of Advanced Engineering Technology and Sciences. 8. 183-188. 10.30574/wjaets.2023.8.2.0092"
"ALLEN, Bryce (1994). Cognitive abilities and information system usability. Information Process & Management, v. 30, n. 2, p. 177-191"
"Almeida, J. C. S. (2022). Desenvolvimento de Aplicações Digitais para Um Congresso Científico (Doctoral dissertation, Instituto Politecnico do Porto (Portugal))"
"Alokluk, J. and Al-Amri, A. (2021) Evaluation of a Digital Library: An Experimental Study. Journal of Service Science and Management, 14, 96-114. doi: 10.4236/jssm.2021.141007"
"Alves, J. L. C. (2022). Instruções de ajuda (coach marks) e a sua validade para seniores em aplicações móveis (Doctoral dissertation, Universidade de Lisboa (Portugal))"
"Amândio, M. J. (2007). Avaliação das bibliotecas digitais Perseus e Virginia Tech: análise comparativa de sistemas de pesquisa e recuperação de informação"
"Andrade, J. G. (2021). Diana Marques–realidade aumentada em exposições de museu. Experiências dos utilizadores. MIDAS. Museus e estudos interdisciplinares, (13)"
"Andrade, M. E. D. (2023). Avaliação da Usabilidade e experiência do usuário no HBO Max com o Modelo MALTU"
"Appleton, L. (2016). User experience (UX) in libraries: let’s get physical (and digital). Insights: The UKSG Journal, 29(3), 224-227"
"ARMS, William Y. Digital Libraries. Cambridge: The MIT Press, 2000. CUNHA, Murilo Bastos da. Desafios na construção de uma biblioteca digital. Ciência da Informação, Brasília, v. 28, n. 3, p. 257-268, set./dez. 1999."
