Base de Dados,Autor(es),Título,País,Idioma,Ano de Publicação
Google Académico,Pedro Miguel Ermida Monteiro,Navegação em Ambientes Virtuais: Avaliação de Diferenetes Interfaces,Portugal,Português,2018
Google Académico,Erwin Saputra; Sulistiowati  Sulistiowati; Julianto Lemantara,Designing User Interface / User Experience of Layanan Informasi Kampus Using Lean User Experience Method at Dr. Soetomo University,Indonésia,Inglês,2018
Google Académico,Joy Robinson; Candice Lanius; Ryan Weber,"The past, present, and future of UX empirical research",E.U.A.,Inglês,2018
Google Académico,Jucélia Giacomelli Beux,Um Estudo da Aplicação do Lean UX em Pequenas Equipes com Rotatividade para o Desenvolvimento de Interface no Contexto Universitário,Brasil,Português do Brasil,2019
Google Académico,Leonardo Carneiro,UX-Tips: uma técnica de avaliação de UX para aplicações de software,Brasil,Português do Brasil,2019
Google Académico,Hakam W. Alomari; Vijayalakshmi Ramasamy; James D. Kiper; Geoff Potvin,A User Interfacd and User Experience Evaluation Framework for Cyberlearning Environments in Computer Science and Software Engineering Education,E.U.A.,Inglês,2020
Google Académico,Carla Sofia Gomes da Mata,Experiência de Utilização num Portal de Serviços Empresarial,Portugal,Português,2020
Google Académico,"O’Brien, Arguello e Capra","An empirical study of interest, task complexity, and search behaviour on user engagement",E.U.A. e Canadá,Inglês,2020
Google Académico,Marta Sofia Santos Batista,Branding e UX / UI na Cityoo,Portugal,Português,2020
Google Académico,Robério Pereira dos Santos Vasconcelos,Avaliação Funcional da Plataforma Checkwatts e Estratégias para Envolver o Utilizador nas Aplicações de Gestão de Energia,Portugal,Português,2020
Google Académico,Luísa Augusto; Sara Santos; Pedro Manuel do Espírito Santo,Usabilidade e Sofisticação dos Websites: Um Caminho Para a Satisfação no Retalho Online,Portugal,Português,2020
Google Académico,Vatsal Sharma; Ankit Kumar Tiwari,A Study on User Interface and User Experience Designs and its Tools,Índia,Inglês,2021
Google Académico,Hananda Ilham; Bangun Wijayanto; Swahesti Puspita Rahayu,Analysis and Design of User Interface / User Experience with The Design Thinking Method In The Academic Information System Of Jenderal Soedirman University,Indonésia,Inglês,2021
Google Académico,Cláudia Souza e Silva; André Ribeiro de Oliveira,Acesso Digital ao Patrimônio Cultural: uma RSL sobre busca de informações e engajamento do usuário em plataformas digitais,Brasil,Português do Brasil,2021
Google Académico,Maria João de Oliveira Guerra,Definição da Estratégia Digital Sustentada no Desenvolvimento de Objetos Multimédia para Promoção de Soluções Tecnológicas da IOTech: do desenho à implementaçáo,Portugal,Português,2021
Google Académico,Catarina Magalhães Cunha,Cantinho do Tareco: uma app para a adoção de animais,Portugal,Português,2021
Google Académico,Fernanda Mendes de Vuono Santos,Usabilidade de Ícones em AVA: uma análise pela optica da neurociência do usuário,Brasil,Português do Brasil,2021
Google Académico,Muhammad Syarif Hartawan,Penerapan User Centered Design Pada Wireframe Desain User Interface Dan User Experience Alikasi Sinopsis Film,Índia,Inglês,2022
Google Académico,Fabio Staiano,Designing and Prototyping Interfaces with Figma,Reino Unido,Inglês,2022
Google Académico,Lucas Alkimim Chaves,Explorando a UX em produtos de software: Uma análise das abordagens de avaliação atuais via revisão sistemática,Brasil,Português do Brasil,2023
Google Académico,"O’Brien, Arguello e Capra","Information Processing and Management: an International Journal 57, 2",E.U.A.,Inglês,2020
Google Académico,Sandro Rafael Botelho Tavares,Plataforma para Gestão de Contúdos de Entretenimento: UX Design da Investigação ao Protótipo,Portugal,Português,2023
Google Académico,Cláudia Pernencar; Rita Santos; Inga Saboia; Rúben Santos,O Ensino remote em contexto COVID-19 na prática projetual baseada em Design Thinking,Portugal,Português,2021
