Base de Dados,Autor(es),Título,País,Idioma,Ano de Publicação
Google Académico,João Pedro Soares Coelho da Silva,Tecnologias Digitais na Educação Básica: a utilização de TIC para fins educativos e o seu impacto na performance dos estudantes ,Portugal,Português,2021
Google Académico,Diogo Ivo Vieira dos Santos Torres Múrias,Desenho  de um Sistema de Apoio à Decisão para Gestão Intermodal de Transportes Públicos,Portugal,Português,2021
Repositório UAb,Teresa Margarida Loureiro Cardoso; Maria Filomena Pestana Martins Silva Coelho,As TIC como Ambientes Virtuais Abertos de Aprendizagem na Sociedade em Rede,Portugal,Português,2021
Google Académico,Maria Clara Silva Setas,Proposta de Interface Digital para Avaliação da Proficiência Linguística de Crianças Lusodescendentes na Diáspora,Portugal,Português,2022
Google Académico,Ana Sofia Tomé Vicente,"Análise, Desenho e Avaliação de uma Interface para Telereabilitação Centrada no Utente",Portugal,Português,2022
Google Académico,S. Kantamneni,User experience design: A practical playbook to Fuel business growth,,Inglês,2022
Google Académico,Maria Teresa Santos Quelhas Pinto Leite,Design de Interface para uma Plataforma de Registo Clínico Integrado de Doentes com Fibrose Quística num Centro de Refrerência Nacional,Portugal,Português,2022
Google Académico,Luísa Lino,O Papel Social do Design na Inclusão: Uma Abordagem de Ação-Reflexão no contexto do projeto Skills for aNext Generation U.Porto,Portugal,Português,2023
Google Académico,"Isabella Augusta Rodrigues, Ana PUL Scabello Mello ",Design da Interface do Usuário (UI / UX) do Novo Site do Sistema EUREKA IMT,Brasil,Português do Brasil,2023
Google Académico,Gustavo Lago Quatrin,Design de interface: prototipação de aplicativo para comércio de alimentos orgânicos,Brasil,Português do Brasil,2023
Google Académico,Marta Manuel Vieira Dias,SimuStorm: A Perspetiva do Utilizador no Processo de Design,Portugal,Português,2023
Google Académico,Afonso Manuel Gonçalves Esteves,Interfaces Avançadas para Soluções de Gestão Arquivística,Portugal,Português,2023
Google Académico,António Carlos Pargana Coelho,Desenvolvimento Centrado no Utilizador em Hotelaria,Portugal,Português,2023
Google Académico,Afonso Manuel Gonçalves Esteves,Interfaces Avançadas para Soluções de Gestão ArquivÍstica,Portugal,Português,2023
