Base de Dados,Autor(es),Título,País,Idioma,Ano de Publicação
Google Académico,"Emma J. Rose, Elin A. Björling, Ada Kim",Usability Testing with Teens: Adapting Human-Centered Design and UX Methods,E.U.A.,Inglês,2018
Google Académico,Júlia R. Giannella,Interfaces entre Design e Humanidades Digitais frente ao desafio de explorar e visualizar grandes arquivos de imagens,,Português,2018
Google Académico,Ana Sofia Tomé Vicente,"Análise, Desenho e Avaliação de uma Interface para Telereabilitação Centrada no Utente",Portugal,Português,2018
Google Académico,David de Oliveira Lemes,Aspetos gerais de uso de interfaces gráficas de usuário.,Brasil,Português do Brasil,2018
Google Académico,Luís Fernando da Silva Mendes,Customização da Interface do DSPACE para categorias de usuário do repositório PROEDU da rede federal,Brasil,Português do Brasil,2018
Google Académico,Milene Rosa de Almeida Moura,InfoMinerva: Interface de Usuário para Sistemas de Software do Domínio de Patrimônio Histórico,Brasil,Português do Brasil,2018
Repositório UAb,Ana Cláudia Gordo Polainas,"Criação, Desenvolvimento e Avaliação de um Sistema de Gestão de Aprendizagem para Formação Empresarial Online",Portugal,Português,2018
Google Académico,Nuno Martins,Princípios Orientadores de Interação e Usabilidade para o Desenvolvimento de um Roteiro de Arquitetura,Portugal,Português,2019
Google Académico,"Laudiceia Lino Rodrigues, Marcelo dos Santos",Contrução de Interfaces Digiatis para Usuários de Ambientes Virtuais de Aprendizagem: Um Estudo dos Requisitos na Perspectiva da Ciência da Informação,Brasil,Português do Brasil,2019
Google Académico,Angelina Dias Leão Costa; Renato Fonseca Livramento da Silva,"Percepção Sensorial, Design Universal e Usabilidade Sob a Ótica da Prática Projetual Centrada no Usuário",Brasil,Português do Brasil,2019
Google Académico,Marcelo dos Santos,Construção de interfaces digitais para usuários de ambientes virtuais de aprendizagem: um estudo dos requisitos na perspectiva da Ciência da Informação,Brasil,Português,2019
Google Académico,L. Nielsen,Personas - user focused design,Inglaterra,Inglês,2019
Google Académico,"F. Portela, R. Queirós",Introdução ao Desenvolvimento Moderno para a Web,Portugal,Português,2019
Google Académico,Erivaldo Pereira Alves Júnior,Análise da Interface do Site do Programa de Educação Tutorial Infoinclusão,Brasil,Português do Brasil,2019
Google Académico,Sundt: Eastman,Information Website Navigation Design with Team-based Card Sorting,,Inglês,2019
Google Académico,Júlia Rabetti Giannella,"Design de interface para visualização, exploração e análise de coleções fotográficas",Brasil,Português do Brasil,2020
Google Académico,Pedro Miguel Marques Pereira,Conceção de uma Aplicação Web para Suporte Informativo à Transformação Tecnológica-Digital em Lisboa,Portugal,Português,2020
Google Académico,Cristiane Lucy Rodolfo Bonfeti,Princípios e Diretrizes para o Desenvolvimento de Interfaces de Busca para Crianças,Brasil,Português do Brasil,2020
Google Académico,Anna Iurchenko,How to get focused on design work,,Inglês,2020
Google Académico,Luiza Ferreira Dias Homsy,Contextualização e Evolução das Interfaces Gráficas Digitais,Portugal,Português do Brasil,2020
Google Académico,Bruno Borges da Silva; Cristine Nieves Perdomo Delgado; Rodolfo Nucci Porsani; Ana Laura Alves; Letícia Nardoni Marteli; Emilene Zitkus; Luis Carlos Paschoarelli,A Influência do Design na Usabilidade de Caixas de Autoatendimento: A Avaliação da Experiência dos Usuários acima de 55 anos,Brasil,Português do Brasil,2020
Google Académico,"Harry Budi Santoso, Panca O. Hadi Putra, Febrin Fikar Farras Hendra S.",Developing & Evaluation of E-Learning Module Based on Visual and Global Preferences Using a User-Centered Design Approach,Indonesia,Inglês,2021
Google Académico,Áurea Hiléia da Silva Melo,ProAut: um processo para apoiar a prototipação de interfaces de aplicações para autistas,Brasil,Português do Brasil,2021
